Game,ReleaseDate,Genre,TotalEarnings,TotalPlayers,TotalTournaments
Age of Empires,1997,Strategy,510716.46,473,265
Age of Empires II,1999,Strategy,3253232.59,1994,1613
Age of Empires III,2005,Strategy,115843.65,166,163
Age of Empires IV,2021,Strategy,994675.03,542,327
Age of Empires Online,2011,Strategy,9806.56,44,50
Age of Mythology,2002,Strategy,155403.52,217,257
Among Us,2018,Strategy,86000.0,14,8
Auto Chess,2019,Strategy,1163720.28,133,52
Brawl Stars,2018,Strategy,7145011.8,693,196
Chess.com,2007,Strategy,6590063.33,1036,603
chess24,2014,Strategy,4318475.43,90,29
chessarena.com,2021,Strategy,263363.64,134,22
Clash of Clans,2012,Strategy,4471027.87,367,65
Clash Royale,2016,Strategy,7771166.25,535,117
Command & Conquer 3,2007,Strategy,53086.67,9,8
Command & Conquer: Red Alert,1996,Strategy,15000.0,8,1
Company of Heroes 2,2013,Strategy,8561.22,11,6
ComPet,2016,Strategy,2000.0,50,1
Dead By Daylight,2016,Strategy,60000.0,35,9
Dead by Daylight Mobile,2020,Strategy,10000.0,0,1
Dota Underlords,2019,Strategy,26024.18,62,36
Farming Simulator 19,2018,Strategy,673267.88,140,31
Farming Simulator 22,2021,Strategy,48654.04,35,3
Grey Goo,2015,Strategy,36400.0,18,5
Identity V,2018,Strategy,1774630.31,73,5
Internet Chess Club,1995,Strategy,10000.0,6,1
Lichess,2010,Strategy,1300329.91,346,177
Loco Dojo Unleashed,2021,Strategy,1000.0,4,1
Multigaming,2000,Strategy,574135.5,49,10
Playchess.com,2002,Strategy,32866.58,116,9
Pokémon GO,2016,Strategy,245490.0,205,43
Pokémon VGC,2012,Strategy,627852.0,303,46
Prophecy,2020,Strategy,13000.0,27,4
Rise of Nations: Rise of Legends,2006,Strategy,69600.0,8,1
Sea of Thieves,2016,Strategy,100000.0,67,4
Star Wars: Squadrons,2020,Strategy,800.0,4,1
StarCraft II,2010,Strategy,40148652.88,2213,7245
StarCraft: Brood War,1998,Strategy,7548789.3,658,536
StarCraft: Remastered,2017,Strategy,3048486.06,376,470
Summoners War: Sky Arena,2014,Strategy,652000.0,32,6
Super Mario Party,2018,Strategy,220.0,4,1
Supreme Commander,2007,Strategy,4901.26,0,1
Supreme Commander: Forged Alliance,2007,Strategy,1290.01,0,1
Teamfight Tactics,2019,Strategy,4428864.86,558,59
Temtem,2022,Strategy,24500.0,31,6
TEPPEN,2019,Strategy,626226.6,53,24
The Binding of Isaac,2011,Strategy,15000.0,16,1
Total Annihilation,1997,Strategy,15000.0,2,1
UNO,2016,Strategy,30000.0,28,3
WarCraft III,2002,Strategy,6273482.33,752,1533
WarCraft III: Reforged,2020,Strategy,1779057.53,149,482
Warparty,2019,Strategy,1175.0,6,2
Windjammers,1994,Strategy,5651.47,36,16
World in Conflict,2007,Strategy,293338.23,38,11
World of Tanks,2010,Strategy,3988496.59,418,54
World of Tanks Blitz,2016,Strategy,63330.0,14,6
After-H,2019,First-Person Shooter,44880.4,93,13
Aim Gods,2020,First-Person Shooter,250000.0,2,1
Aliens versus Predator 2,2001,First-Person Shooter,43500.0,2,2
Archangel Hellfire,2017,First-Person Shooter,5500.0,14,9
Battalion 1944,2018,First-Person Shooter,206654.67,135,29
Battlefield 2,2005,First-Person Shooter,94715.22,0,13
Battlefield 2142,2006,First-Person Shooter,18546.14,0,4
Battlefield 3,2011,First-Person Shooter,25407.46,5,7
Battlefield 4,2013,First-Person Shooter,245766.46,204,145
Battlefield Hardline,2015,First-Person Shooter,13463.28,20,1
Beat Aim,2019,First-Person Shooter,430.0,12,6
Big Buck Hunter Arcade,2016,First-Person Shooter,76200.0,3,1
Black Squad,2017,First-Person Shooter,8480.72,57,17
Blaston,2020,First-Person Shooter,19623.06,27,22
Borderlands 3,2019,First-Person Shooter,50000.0,16,1
Call of Duty,2003,First-Person Shooter,54799.77,66,4
Call of Duty 2,2005,First-Person Shooter,75090.24,53,17
Call of Duty 4: Modern Warfare,2007,First-Person Shooter,425409.27,431,87
Call of Duty: Advanced Warfare,2014,First-Person Shooter,2611808.93,783,405
Call of Duty: Black Ops,2010,First-Person Shooter,375793.48,118,23
Call of Duty: Black Ops 2,2012,First-Person Shooter,1479139.25,187,54
Call of Duty: Black Ops 4,2018,First-Person Shooter,6734938.95,389,82
Call of Duty: Black Ops Cold War,2020,First-Person Shooter,6299000.0,274,89
Call of Duty: Black Ops III,2015,First-Person Shooter,3939783.29,424,78
Call of Duty: Blackout,2018,First-Person Shooter,611608.35,175,18
Call of Duty: Ghosts,2013,First-Person Shooter,1594185.25,199,76
Call of Duty: Infinite Warfare,2016,First-Person Shooter,4166705.06,343,84
Call of Duty: Mobile,2019,First-Person Shooter,6240636.0,325,21
Call of Duty: Modern Warfare,2019,First-Person Shooter,7500784.5,396,81
Call of Duty: Modern Warfare 2,2009,First-Person Shooter,117360.64,65,20
Call of Duty: Modern Warfare 3,2011,First-Person Shooter,1160815.66,209,45
Call of Duty: Modern Warfare II,2022,First-Person Shooter,5009000.0,82,19
Call of Duty: Vanguard,2021,First-Person Shooter,6321000.0,261,91
Call of Duty: Warzone,2020,First-Person Shooter,10869721.17,1223,377
Call of Duty: Warzone 2.0,2022,First-Person Shooter,141088.78,72,16
Call of Duty: WWII,2017,First-Person Shooter,4578021.0,296,77
Chex Quest,1996,First-Person Shooter,100.0,2,1
Contractors,2018,First-Person Shooter,1000.0,20,1
Counter-Strike,2000,First-Person Shooter,13596060.66,4264,1023
Counter-Strike 2,2023,First-Person Shooter,79728.67,251,22
Counter-Strike Online,2016,First-Person Shooter,406989.6,70,12
Counter-Strike: Condition Zero,2004,First-Person Shooter,162150.6,111,3
Counter-Strike: Global Offensive,2012,First-Person Shooter,161615824.69,16272,6886
Counter-Strike: Source,2004,First-Person Shooter,3113222.29,1502,331
Critical Ops,2015,First-Person Shooter,74106.41,73,4
CrossFire,2007,First-Person Shooter,17865475.8,967,358
CrossFire HD,2022,First-Person Shooter,571335.0,95,3
CrossFire Mobile,2015,First-Person Shooter,3806431.5,279,17
Crysis,2007,First-Person Shooter,11340.95,0,2
Day of Defeat,2003,First-Person Shooter,51180.41,43,4
Day of Defeat: Source,2005,First-Person Shooter,14068.57,50,8
Descent 3,1999,First-Person Shooter,50000.0,1,1
Diabotical,2020,First-Person Shooter,265072.09,399,388
Doom (2016),2016,First-Person Shooter,7000.0,6,1
Doom 3,2004,First-Person Shooter,257748.16,14,4
Doom II: Hell on Earth,1994,First-Person Shooter,5108.56,14,8
DOOMBRINGER,2017,First-Person Shooter,567.77,8,4
Echo Combat,2018,First-Person Shooter,46800.0,16,1
Enemy Territory: Quake Wars,2007,First-Person Shooter,60923.12,27,4
Escape from Tarkov,2020,First-Person Shooter,114600.0,150,4
Evolve,2015,First-Person Shooter,131509.05,110,33
F.E.A.R.,2005,First-Person Shooter,178000.0,20,5
Ghost Recon Advanced Warfighter,2006,First-Person Shooter,24000.0,0,2
Gundam Versus,2017,First-Person Shooter,280.0,6,1
Guns of Boom,2017,First-Person Shooter,198750.0,8,21
Halo 2,2004,First-Person Shooter,1626762.47,126,74
Halo 2 Anniversary,2014,First-Person Shooter,468705.05,97,20
Halo 3,2007,First-Person Shooter,2318079.4,214,43
Halo 4,2012,First-Person Shooter,430748.76,66,19
Halo 5: Guardians,2015,First-Person Shooter,7161730.97,248,109
Halo Infinite,2021,First-Person Shooter,3985655.0,237,47
Halo: Combat Evolved,2001,First-Person Shooter,299281.0,118,39
Halo: Reach,2010,First-Person Shooter,772089.97,121,29
Lemnis Gate,2021,First-Person Shooter,1564.7,6,5
